run_accession	genome_size
DRR103110	4966914
DRR103225	5023660
DRR103226	4984375
DRR103228	5110631
DRR103230	5047719
DRR103231	5066333
DRR103232	5109401
DRR103233	4743205
DRR103234	5033072
DRR103249	4942991
DRR103255	4760006
DRR103256	5115671
DRR103265	4924535
DRR103268	4890370
DRR103270	4697670
DRR103271	5042859
DRR103272	4814840
DRR103284	4820245
DRR154108	5402591
DRR103313	5311236
DRR103314	5135024
DRR103316	5011278
DRR103317	5085630
DRR103318	5031567
DRR103319	5189698
DRR103322	4948374
DRR092861	4921014
DRR092863	5156197
DRR092865	4947220
DRR092869	5205019
DRR092871	5160210
DRR092873	4959015
DRR092874	5144582
DRR092875	5555891
DRR092876	4869856
DRR092877	5187410
DRR092878	4947041
DRR092880	5016892
DRR092884	5044506
DRR092886	5016668
DRR092889	5149905
DRR092894	4983171
DRR096287	5341718
DRR096288	5346679
DRR096291	5330604
DRR096292	5349890
DRR096294	5340326
DRR096295	5341479
DRR096296	5404895
DRR096297	5344817
DRR096298	5343525
DRR096299	5346355
DRR096300	5423815
DRR096301	5410598
DRR096303	5424927
DRR096304	5426634
DRR096305	5424756
DRR096306	5238776
DRR096307	5333117
DRR096308	5418414
DRR096309	5391368
DRR096310	5390272
DRR096314	5435301
DRR096315	5437814
DRR096316	5433970
DRR096317	5436281
DRR096318	5434603
DRR096321	5409001
DRR096322	5331956
DRR096325	5336526
DRR096327	5484663
DRR096329	5319338
DRR096330	5287200
DRR096331	5322847
DRR096332	5295597
DRR096333	5347092
DRR096334	5358507
DRR096335	5331435
DRR096336	5324998
DRR096337	5325501
DRR096338	5354877
DRR096339	5324432
DRR096340	5323498
DRR096341	5322610
DRR096342	5351132
DRR096343	5322530
DRR096345	5296905
DRR096346	5366465
DRR096347	5429023
DRR096348	5322345
DRR096349	5354563
DRR096350	5357122
DRR096351	5352713
DRR096352	5352275
DRR096353	5352713
DRR096354	5354596
DRR096355	5352255
DRR096356	5356913
DRR096357	5351748
DRR096358	5331322
DRR096359	5357948
DRR096360	5351399
DRR096361	5325038
DRR096363	5367150
DRR096364	5442418
DRR096365	5356320
DRR096366	5352543
DRR096368	5416511
DRR096369	5432354
DRR096370	5446854
DRR096371	5425614
DRR096372	5473922
DRR096375	5332921
DRR096376	5315293
DRR096377	5334608
DRR096378	5333685
DRR096380	5332872
DRR096381	5314717
DRR096382	5313070
DRR096383	5405304
DRR096384	5334546
DRR096385	5295199
DRR096386	5302847
DRR096387	5301465
DRR096388	5304162
DRR096389	5301404
DRR096390	5301885
DRR096391	5303708
DRR096392	5303154
DRR096393	5302724
DRR096394	5303172
DRR096395	5304293
DRR096396	5298926
DRR096397	5302526
DRR100980	4701852
DRR100981	5338278
DRR100982	5168818
DRR100984	4924644
DRR100985	5274081
DRR100987	5057073
DRR100988	4985198
DRR100989	4842979
DRR129827	5172374
DRR129830	5067341
DRR129831	5282113
DRR129833	5057685
DRR148125	4946407
DRR148126	5138605
DRR148128	5020283
DRR148130	4932090
DRR148134	5112319
DRR148137	5118884
DRR148138	5048811
DRR148146	5222758
DRR148151	5256600
DRR148152	5259809
DRR148154	5207025
DRR148155	5264605
DRR148159	5103475
DRR148160	5235126
DRR148161	4970583
DRR148167	5210594
DRR148171	5151778
DRR148174	5139241
DRR148175	5141412
DRR148177	5229765
DRR148178	4984260
DRR148183	5156349
DRR148185	5292506
DRR148186	5210037
DRR148187	5104317
DRR148188	4981577
DRR148196	5194110
DRR148206	4969020
DRR148219	5059489
DRR148249	5400458
DRR148251	4962845
DRR148252	5056971
DRR148254	5155268
DRR148255	5263185
DRR148256	5006931
DRR148257	4830943
DRR148260	5108983
DRR148261	5136351
DRR148262	5193228
DRR148271	5300122
DRR148276	5116028
DRR148277	5183581
DRR148279	5119389
DRR148284	5061816
DRR148285	5096030
DRR148286	5007069
DRR148287	4793922
DRR148290	4709840
DRR148291	5284186
DRR148298	4974665
DRR148299	4709646
DRR148302	4871908
DRR148306	5166785
DRR148314	4734219
DRR148316	5022488
DRR148321	4778093
DRR148325	5115673
DRR148326	4653067
DRR148327	5161756
DRR148330	5110418
DRR148334	5190784
DRR148340	5200384
DRR148341	5244270
DRR148342	4953171
DRR148343	5284667
DRR148344	5266550
DRR148345	5005019
DRR148346	5069986
DRR148347	5088581
DRR148348	5040076
DRR148350	5152831
DRR148351	5305355
DRR148352	5140455
DRR148355	5007507
DRR148356	4867211
DRR148357	5183701
DRR148358	5031101
DRR148359	5257474
DRR148360	5026307
DRR147066	5277105
DRR147067	5162227
DRR147068	5263818
DRR147069	5234784
DRR147070	5255054
DRR147071	5277166
DRR147072	5168443
DRR147073	5213316
DRR147074	5273218
DRR147075	5237607
DRR147076	5207776
DRR147077	5273117
DRR147078	5271201
DRR147079	5423031
DRR147080	5410088
DRR147081	5429025
DRR147082	5358960
DRR149597	5330800
DRR149643	5578671
DRR149653	5410259
DRR149681	5471787
DRR149695	5360238
DRR149697	5403057
DRR149701	5392501
DRR149720	5415750
DRR149735	5311788
DRR149747	5380215
DRR149757	5333469
DRR149786	5403428
DRR149819	5405766
DRR149835	5352220
DRR149838	5403080
DRR149840	5413824
DRR149841	5414165
DRR149843	5416354
DRR149844	5413194
DRR149872	5412163
DRR149887	5413014
DRR149888	5414289
DRR149889	5417258
DRR149890	5406364
DRR149891	5415517
DRR149892	5416232
DRR149893	5413253
DRR149894	5409091
DRR149895	5414112
DRR149896	5416001
DRR149897	5410942
DRR149899	5413715
DRR149900	5458650
DRR149901	5415084
DRR149902	5411341
DRR149903	5412374
DRR149905	5415069
DRR149906	5444991
DRR149907	5412141
DRR149909	5389958
DRR149910	5404572
DRR149911	5449150
DRR159791	5040916
DRR159794	5309071
DRR159796	4991061
DRR159799	4981679
DRR159800	4989342
DRR159801	5157706
DRR159802	5497841
DRR159803	5021314
DRR159805	5175192
DRR159807	5499021
DRR159808	5158955
DRR159809	5107236
DRR159811	4988205
DRR159812	5156389
DRR159813	5501509
DRR159814	4784908
DRR159815	5104528
DRR159816	4989122
DRR159818	5406724
DRR159820	5041308
DRR159821	5262724
DRR159822	5285899
DRR159824	5249373
DRR159826	4986951
DRR159827	5151109
DRR159832	5254319
DRR159833	4992401
DRR159834	4983202
DRR159835	4761025
DRR159836	4889389
DRR159838	5014568
DRR159839	5064666
DRR159840	5134336
DRR159841	5055526
DRR159842	4838411
DRR159843	5158381
DRR159844	4775874
DRR159845	4839206
DRR159846	4778782
DRR159847	5221374
DRR159848	5096317
DRR159849	5079034
DRR159850	4835410
DRR159851	5054943
DRR159852	5054718
DRR159853	5137728
DRR159854	4763955
DRR159855	4765559
DRR159856	5304717
DRR159857	5002877
DRR159858	4876634
DRR159859	4963176
DRR159860	5124203
DRR159861	4908873
DRR159862	5169459
DRR159864	4758346
DRR159865	5201487
DRR159866	4834371
DRR159867	4973867
DRR159868	5118695
DRR159869	5228518
DRR159870	5070011
DRR159871	4760343
DRR159872	5027284
DRR159873	4975625
DRR159874	5392909
DRR159875	4729001
DRR159876	4889053
DRR159877	4686885
DRR159878	5237903
DRR159879	5079555
DRR159880	4651358
DRR159881	4723090
DRR159882	5093423
DRR159883	5300809
DRR159884	5253580
DRR159885	5055924
DRR159886	5102592
DRR159887	5006300
DRR159888	5505777
DRR159889	4818119
DRR159890	4800333
DRR159891	4826653
DRR159893	4805861
DRR159894	5082904
DRR159895	4755814
DRR159896	4943323
DRR159897	4946294
DRR159898	5163498
DRR159899	4823645
DRR159900	4969761
DRR159901	4886992
DRR159902	5206348
DRR159903	5108402
DRR159904	5107097
DRR159905	4852584
DRR159906	5201619
DRR159907	5249844
DRR159908	5484017
DRR159909	5265533
DRR159910	5044403
DRR159911	5671030
DRR159912	5265461
DRR159913	5375067
DRR159914	4905183
DRR159915	5067918
DRR159916	5112733
DRR159917	4798445
DRR159918	4846577
DRR159919	4939560
DRR159920	4743197
DRR159921	5515835
DRR159922	5044175
DRR159923	5196917
DRR159924	4967802
DRR159925	4870243
DRR159926	4959817
DRR159927	4875832
DRR159928	4865622
DRR159929	4661644
DRR159930	4860241
DRR159931	4777322
DRR159932	4636471
DRR159933	4929416
DRR159934	4865445
DRR159935	5056944
DRR159936	4842259
DRR159937	5020487
DRR165515	4615663
DRR165517	5090804
DRR165518	4992338
DRR165519	4957238
DRR165520	5032060
DRR165523	5144015
DRR165524	5518580
DRR165525	4872799
DRR165529	4917992
DRR165530	4977286
DRR165532	4981959
DRR165534	5028125
DRR178143	5386523
DRR178147	5404226
DRR178148	5392243
DRR178149	5401309
DRR178150	5347508
DRR178151	5455632
DRR178153	5316387
DRR178184	5434129
DRR178187	5415033
DRR178191	5343126
DRR178193	5348242
DRR178195	5335903
DRR178196	4978598
DRR178216	5286643
DRR178217	5291779
DRR178220	5346487
DRR178222	5344220
DRR178224	5570709
DRR178225	5393714
DRR178226	5268756
DRR178227	5253877
DRR178229	5239808
DRR178230	5321194
DRR178232	5368058
DRR178233	5180084
DRR178234	5380870
DRR178235	5366390
DRR178236	5387339
DRR199195	4912124
DRR199207	4838667
DRR199249	5071826
DRR199287	5121763
DRR199291	5156940
DRR199303	5134864
DRR199304	5473306
DRR199389	5250789
DRR199391	4835549
DRR199440	5237135
DRR199506	5341991
DRR199540	4736784
DRR199744	4900213
DRR203158	5158072
DRR213841	5619589
DRR213842	5672942
DRR213843	5550124
DRR213844	5159367
DRR213845	5200217
DRR213846	5202183
DRR213850	5126807
DRR213851	5199379
DRR213852	5201117
DRR213853	5192307
DRR213854	5198394
DRR213855	5194631
DRR213856	5200461
DRR213860	5199903
DRR213862	5151614
DRR213863	5193254
DRR213864	5199366
DRR213866	5198795
DRR213868	5181413
DRR213870	5140215
DRR213871	5146647
DRR213872	5193133
DRR213874	5638837
DRR216728	5252360
DRR216730	5079975
DRR216731	4624294
DRR216733	5181214
DRR216734	5207924
DRR216735	5209100
DRR216736	5206545
DRR216738	5431104
DRR216739	5432527
DRR216741	5600220
DRR216742	5054126
DRR216743	5023655
DRR216744	5222413
DRR216745	5279874
DRR216746	4942379
DRR216747	5701327
DRR216749	5128596
DRR216750	5160757
DRR216751	5189757
DRR216752	5376018
DRR216753	5360759
DRR216754	5195537
DRR216755	5161767
DRR216757	5044829
DRR216758	5228800
DRR216759	5672115
DRR216760	4973670
DRR216761	5227969
DRR216762	5132480
DRR216763	5192662
DRR216765	5195195
DRR216766	5136631
DRR216767	5130358
DRR216768	5432712
DRR216769	5432766
DRR216770	5414166
DRR216771	4996168
DRR216773	4816822
DRR216774	5354977
DRR216775	5352506
DRR216779	4999788
DRR216781	5068976
DRR216782	5233283
DRR216783	5223642
DRR216784	5061977
DRR216785	5228457
DRR216786	5240466
DRR216787	5032671
DRR216788	4988344
DRR216789	5337269
DRR216790	5144807
DRR216792	5197058
DRR216793	5220459
DRR216794	5313685
DRR216795	5312225
DRR216796	5119087
DRR216797	5439697
DRR216798	5311490
DRR216799	5017141
DRR216800	5271531
DRR216801	5023340
DRR216802	5044315
DRR216803	5102725
DRR216804	5133580
DRR216805	5134182
DRR216806	5370259
DRR216807	5134218
DRR216808	5349668
DRR216809	5133963
DRR216810	5420156
DRR216811	4891872
DRR216814	5138104
DRR216815	5259163
DRR216818	5183033
DRR216819	5170501
DRR216820	5452137
DRR216821	5559143
DRR216822	5008622
DRR216823	5119660
DRR216824	5253289
DRR216825	5254522
DRR216826	5085455
DRR216827	5276024
DRR216828	5574704
DRR216829	5021761
DRR216830	5482734
DRR216831	4857112
DRR216832	5083311
DRR216833	5459467
DRR216834	5510814
DRR216835	5352507
DRR216836	4854430
DRR216837	5146245
DRR216838	5266058
DRR216839	5290024
DRR216840	5233625
DRR216841	5033599
DRR216842	5235840
DRR216843	5297265
DRR216844	4939060
DRR216845	5069841
DRR216846	5185685
DRR216847	5023142
DRR216848	5262946
DRR216849	5322100
DRR216850	5153054
DRR216851	5383563
DRR216852	5052673
DRR216853	5041178
DRR216854	5223028
DRR216855	5201497
DRR216856	5220988
DRR216857	5337685
DRR216859	5097489
DRR216860	5061664
DRR216861	5071059
DRR216862	5127780
DRR216863	5397424
DRR216864	5826995
DRR216865	5278605
DRR216866	4920691
DRR216867	5125280
DRR216868	5214446
DRR216869	5218425
DRR216870	5081713
DRR216871	5047120
DRR216873	5001442
DRR216874	5295174
DRR216875	5057768
DRR216876	5152434
DRR216877	5247689
DRR216878	5366610
DRR216879	5145038
DRR216880	4937441
DRR216881	4957017
DRR216883	5038713
DRR216884	5162193
DRR216885	5468722
DRR216886	5047414
DRR216887	5410602
DRR216888	5446073
DRR216889	5304581
DRR216890	5273925
DRR216891	5144420
DRR216892	5141238
DRR216893	5322962
DRR216894	5422656
DRR216895	5304266
DRR216896	5113311
DRR216897	5144290
DRR216898	5247943
DRR216899	5269086
DRR216900	5106473
DRR216901	5304660
DRR216902	5075120
DRR216903	5206178
DRR216905	5130288
DRR216906	5233446
DRR216907	5579850
DRR216908	5169229
DRR216909	5063201
DRR216910	5073452
DRR216911	5222089
DRR216914	5223356
DRR216917	5340212
DRR216918	5209893
DRR216919	5174274
DRR216921	5331639
DRR216922	5159188
DRR216923	5195372
DRR216925	5429865
DRR216926	5440142
DRR216928	5204809
DRR216929	5240161
DRR216930	5255240
DRR216931	5714743
DRR216933	5377174
DRR216934	5224560
DRR216935	5228046
DRR216936	4902844
DRR216937	5231654
DRR216938	5259190
DRR216939	5130978
DRR216943	4788026
DRR216944	5360596
DRR216945	5218935
DRR216946	5332898
DRR216947	5254091
DRR216950	5279496
DRR216951	5074361
DRR216952	5315117
DRR216954	5311798
DRR216955	5232579
DRR216957	5152987
DRR216958	5201546
DRR216959	5244271
DRR216960	5614789
DRR216961	5019175
DRR216963	5370390
DRR216965	5233330
DRR216966	5216977
DRR216968	5062829
DRR216969	5205689
DRR216971	5542835
DRR216973	5095885
DRR216974	4945769
DRR216975	4899713
DRR216976	5170437
DRR216977	5429060
DRR216978	5110542
DRR216979	5295895
DRR216981	5225284
DRR216982	5240798
DRR216983	5171376
DRR216984	5422487
DRR216985	4951598
DRR216986	4931469
DRR216987	5131021
DRR216992	5251835
DRR216993	5003953
DRR216994	5245936
DRR216995	5283787
DRR216999	5402249
DRR217000	5072235
DRR217001	5038888
DRR217002	5828070
DRR217003	5225777
DRR223648	4782398
DRR223649	5144607
DRR223650	5125966
DRR223651	4796146
DRR223652	5171177
DRR223654	5190869
DRR223655	4668971
DRR223657	4795760
DRR223658	5147373
DRR223659	5138201
DRR223662	5178320
DRR223663	4796181
DRR223664	5060085
DRR223665	4992644
DRR223667	5164758
DRR223668	4974796
DRR223669	4725771
DRR223670	4796589
DRR223671	4822809
DRR223672	5190917
DRR223673	4733554
DRR223674	4823581
DRR223675	5571651
DRR223676	4898010
DRR223677	4962532
DRR223678	4636543
DRR223679	4896225
DRR223680	4795842
DRR223681	5564916
DRR223684	5140971
DRR223686	5568287
DRR223687	5182603
DRR223688	5144925
DRR223689	5034644
DRR223690	4882735
DRR223691	5164063
DRR223692	4844102
DRR223693	4850698
DRR223694	5174494
DRR223695	4743126
DRR223698	4838719
DRR223699	4699995
DRR223700	4827375
DRR223702	4742780
DRR223704	5061226
DRR223705	4664461
DRR223707	4949497
DRR223709	4637611
DRR223710	4873009
DRR223711	4684990
DRR223712	4968490
DRR223713	4692410
DRR223714	4679478
DRR223715	5143006
DRR223716	5140668
DRR223717	5151989
DRR223718	5217848
DRR223719	5025189
DRR223720	5150950
DRR223721	4872962
DRR223722	4831151
DRR223723	5032351
DRR223724	5217195
DRR223725	5219609
DRR223726	5047386
DRR223727	5096960
DRR223728	5073758
DRR223729	4738541
DRR223730	4923140
DRR223731	5075881
DRR223732	5160976
DRR223734	5151505
DRR223735	5080327
DRR223736	4951806
DRR223737	5111615
DRR223739	4896534
DRR223741	5080312
DRR223742	4698670
DRR223743	4977688
DRR223745	4710555
DRR223746	5404596
DRR223747	4859258
DRR223748	4926101
DRR223749	5127248
DRR223750	4945403
DRR223751	4939214
DRR223752	4569834
DRR223753	4908043
DRR223754	4997716
DRR223755	4790753
DRR223756	4880552
DRR223757	5251176
DRR223762	5099068
DRR223763	4978501
DRR223765	4931059
DRR223767	4977954
DRR223768	4874173
DRR223769	4736192
DRR223770	5220453
DRR223771	5275390
DRR223772	4787846
DRR223773	4863763
DRR223774	4744964
DRR223775	5359578
DRR223776	4736791
DRR223778	4880250
DRR223779	4988348
DRR223780	4849350
DRR223783	5218293
DRR223784	4984315
DRR223785	4520870
DRR223786	5075779
DRR223787	5145850
DRR223788	5022750
DRR223789	4741278
DRR223790	4858610
DRR223791	5279156
DRR223792	4755306
DRR223793	5300662
DRR223794	4799315
DRR223795	5226419
DRR223796	4848197
DRR223797	4782306
DRR223798	5250552
DRR223800	5178092
DRR223801	4816331
DRR223802	4754437
DRR223803	4849113
DRR223804	4721341
DRR223805	4673026
DRR223806	4848767
DRR223807	5227019
DRR223808	4624867
DRR223809	4877140
DRR223810	4741956
DRR223811	4982285
DRR223812	4811899
DRR223813	4848525
DRR223814	4848754
DRR223815	4919286
DRR223816	5077224
DRR223817	4727816
DRR223818	5045113
DRR223819	5054199
DRR223820	4848157
DRR223821	4783190
DRR223822	4848850
DRR223824	4992553
DRR223825	4918470
DRR223826	4745097
DRR223827	4672142
DRR223828	5013816
DRR223829	5030398
DRR223830	5145321
DRR223831	5275783
DRR223832	4984673
DRR223833	5170984
DRR223834	4815447
DRR223835	4723472
DRR223836	5111442
DRR223837	4642258
DRR223838	4785393
DRR223839	4876389
DRR223840	5177960
DRR223841	4843053
DRR223842	5076739
DRR223843	4706717
DRR223844	4915559
DRR223845	5076111
DRR223846	4955087
DRR223847	4508260
DRR223848	4965567
DRR223849	4848675
DRR223850	4972536
DRR223851	4921619
DRR223852	4694951
DRR223853	5069980
DRR223854	4901296
DRR223855	4915475
DRR223856	4793672
DRR223857	5124165
DRR223858	4697753
DRR223859	4744697
DRR223860	4842398
DRR223861	5149901
DRR223862	5183280
DRR223863	5036829
DRR223864	5125019
DRR223865	4954788
DRR223866	5030175
DRR223867	4736991
DRR223868	5242434
DRR223869	4886681
DRR223870	4791438
DRR223871	4819461
DRR223872	5129467
DRR223873	4928334
DRR223874	4806469
DRR223875	5167531
DRR223876	4783791
DRR223877	4692207
DRR223878	5111315
DRR223879	4690937
DRR223880	4926955
DRR223881	4916188
DRR223882	5328898
DRR223883	5132448
DRR223884	5045267
DRR223885	4786041
DRR223886	5134068
DRR223887	4831420
DRR223888	5132588
DRR223889	4642225
DRR223890	5395391
DRR223891	4711857
DRR223892	4718409
DRR223893	4901636
DRR223894	4641644
DRR223895	5212177
DRR223896	4786942
DRR223897	4811415
DRR223898	4787100
DRR223899	4901098
DRR223900	4682374
DRR223901	4736742
DRR223902	5068636
DRR223903	4859840
DRR223904	5073066
DRR223905	4841725
DRR223906	4795203
DRR223907	4995291
DRR223908	4586353
DRR223909	4795329
DRR223910	5123973
DRR223911	4893172
DRR223912	4795890
DRR223913	5443805
DRR223914	5287083
DRR223915	4925719
DRR223916	4826971
DRR223917	5201679
DRR223918	5208509
DRR223919	5221403
DRR223920	4790766
DRR223921	4854723
DRR223922	4805749
DRR223923	5161557
DRR223924	4915850
DRR223927	4807278
DRR223928	4898398
DRR223930	4888897
DRR242140	4818502
DRR242142	4865965
DRR242150	5315941
DRR242151	5640312
DRR242152	5198691
DRR242153	5198462
DRR242154	5097728
DRR242155	4615853
DRR242157	4917029
DRR242158	4940929
DRR242159	5095916
DRR242160	5339483
DRR242161	5293942
DRR242162	5205180
DRR242163	4887390
DRR242164	4856841
DRR242167	5304149
DRR242169	5016786
DRR242170	5151206
DRR242173	4815847
